x_0_5,1.0
x_1_5,1.0
x_2_5,1.0
x_3_5,1.0
x_4_5,1.0
x_5_5,1.0
x_6_5,1.0
x_7_5,1.0
x_8_5,1.0
x_9_5,1.0
x_10_5,1.0
x_11_5,1.0
x_12_5,1.0
x_13_5,1.0
x_14_5,1.0
x_15_5,1.0
x_16_5,1.0
x_17_5,1.0
x_18_5,1.0
x_19_5,1.0
x_20_5,1.0
x_21_5,1.0
x_22_5,1.0
x_23_5,1.0
x_24_5,1.0
x_25_5,1.0
x_26_5,1.0
x_27_5,1.0
x_28_5,1.0
x_29_5,1.0
x_30_5,1.0
x_31_5,1.0
x_32_5,1.0
x_33_5,1.0
x_34_5,1.0
x_35_5,1.0
x_36_5,1.0
x_37_5,1.0
x_38_5,1.0
x_39_5,1.0
x_40_5,1.0
x_41_5,1.0
x_42_5,1.0
x_43_5,1.0
x_44_5,1.0
x_45_5,1.0
x_46_5,1.0
x_47_5,1.0
x_48_5,1.0
x_49_5,1.0
x_50_5,1.0
x_51_5,1.0
x_52_5,1.0
x_53_5,1.0
x_54_5,1.0
x_55_5,1.0
x_56_5,1.0
x_57_5,1.0
x_58_5,1.0
x_59_5,1.0
x_60_5,1.0
x_61_5,1.0
x_62_5,1.0
x_63_5,1.0
x_64_5,1.0
x_65_5,1.0
x_66_5,1.0
x_67_5,1.0
x_68_5,1.0
x_69_5,1.0
x_70_5,1.0
x_71_5,1.0
x_72_5,1.0
x_73_5,1.0
x_74_5,1.0
x_75_5,1.0
x_76_5,1.0
x_77_5,1.0
x_78_5,-0.0
x_79_5,1.0
x_80_5,1.0
x_81_5,1.0
x_82_5,1.0
x_83_5,1.0
x_84_5,1.0
x_85_5,1.0
x_86_5,1.0
x_87_5,1.0
x_88_5,1.0
x_89_5,1.0
x_90_5,1.0
x_91_5,1.0
x_92_5,1.0
x_93_5,1.0
x_94_5,1.0
x_95_5,1.0
x_96_5,1.0
x_97_5,1.0
x_98_5,1.0
x_99_5,1.0
x_100_5,1.0
x_101_5,1.0
x_102_5,1.0
x_103_5,1.0
x_104_5,1.0
x_105_5,1.0
x_106_5,1.0
x_107_5,1.0
x_108_5,1.0
x_109_5,1.0
x_110_5,1.0
x_111_5,1.0
x_112_5,1.0
x_113_5,1.0
x_114_5,1.0
x_115_5,1.0
x_116_5,1.0
x_117_5,1.0
x_118_5,1.0
x_119_5,1.0
x_120_5,1.0
x_121_5,1.0
x_122_5,1.0
x_123_5,1.0
x_124_5,1.0
x_125_5,1.0
x_126_5,1.0
x_127_5,1.0
x_128_5,1.0
x_129_5,1.0
x_130_5,1.0
x_131_5,1.0
x_132_5,1.0
x_133_5,1.0
x_134_5,1.0
x_135_5,1.0
x_136_5,1.0
x_137_5,1.0
x_138_5,1.0
x_139_5,1.0
x_140_5,1.0
x_141_5,1.0
x_142_5,1.0
x_143_5,1.0
x_144_5,1.0
x_145_5,1.0
x_146_5,1.0
x_147_5,1.0
x_148_5,1.0
x_149_5,1.0
x_150_5,1.0
x_151_5,1.0
x_152_5,1.0
x_153_5,1.0
x_154_5,1.0
x_155_5,1.0
x_156_5,1.0
x_157_5,1.0
x_158_5,1.0
x_159_5,1.0
x_160_5,1.0
x_161_5,1.0
